id,gender,masterCategory,subCategory,articleType,baseColour,season,,usage,productDisplayName
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,,Casual, Navy Blue Shirt
39386,Men,Apparel,Bottomwear,Jeans,Blue,Summer,,Casual, Blue Jeans
59263,Women,Accessories,Watches,Watches,Silver,Winter,,Casual, Silver Watch
21379,Men,Apparel,Bottomwear,Track Pants,Black,Fall,,Casual, Black Track Pants
53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,,Casual, Grey T-shirt
1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,,Casual, T-shirt
30805,Men,Apparel,Topwear,Shirts,Green,Summer,,Ethnic, Green Shirt
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,,Casual, Purple Shirt
29114,Men,Accessories,Socks,Socks,Navy Blue,Summer,,Casual,3 Socks
30039,Men,Accessories,Watches,Watches,Black,Winter,,Casual, Black Watch
9204,Men,Footwear,Shoes,Casual Shoes,Black,Summer,,Casual, Black Casual Shoes
48123,Women,Accessories,Belts,Belts,Black,Summer,,Casual,Weave Belt
18653,Men,Footwear,Flip Flops,Flip Flops,Black,Fall,,Casual, Black Slippers
47957,Women,Accessories,Bags,Handbags,Blue,Summer,,Casual, Blue Handbag
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,,Casual, Navy Blue Slippers
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,,Formal, Purple Shirts
29928,Men,Accessories,Watches,Watches,Black,Winter,,Casual, Men Black Digital Watch 
42419,Girls,Apparel,Topwear,Tops,White,Summer,,Casual,White Top
51832,Women,Apparel,Night,suit,Beige,Summer,,Casual,Night Suit 
47359,Women,Accessories,Bags,Handbags,Brown,Summer,,Casual, Brown Handbag
17429,Men,Accessories,Watches,Watches,Black,Winter,,Casual, Men Black Digital Watch
12967,Men,Footwear,Sandal,Sandals,Black,Fall,,Casual,Black Sandals
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,,Casual, Brush Shoe
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,,Sports,Grey Sweatshirts
